Gene stable ID,Goat gene stable ID,Goat homology type
ENSOARG00000010818,ENSCHIG00000020357,ortholog_one2many
ENSOARG00000024745,ENSCHIG00000005161,ortholog_one2many
ENSOARG00000023963,ENSCHIG00000005161,ortholog_one2many
ENSOARG00000010873,ENSCHIG00000017351,ortholog_one2one
ENSOARG00000010990,ENSCHIG00000024113,ortholog_one2one
ENSOARG00000010996,ENSCHIG00000021014,ortholog_one2one
ENSOARG00000011066,ENSCHIG00000018348,ortholog_one2one
ENSOARG00000021602,ENSCHIG00000004643,ortholog_one2one
ENSOARG00000011143,ENSCHIG00000011011,ortholog_one2one
ENSOARG00000021261,ENSCHIG00000009438,ortholog_one2one
ENSOARG00000011191,ENSCHIG00000021433,ortholog_one2one
ENSOARG00000011201,ENSCHIG00000018487,ortholog_one2one
ENSOARG00000011252,ENSCHIG00000015060,ortholog_one2one
ENSOARG00000011290,ENSCHIG00000006266,ortholog_one2one
ENSOARG00000011336,ENSCHIG00000013509,ortholog_one2one
ENSOARG00000011573,ENSCHIG00000016312,ortholog_one2one
ENSOARG00000024631,ENSCHIG00000003711,ortholog_one2one
ENSOARG00000024329,ENSCHIG00000004455,ortholog_one2one
ENSOARG00000011965,ENSCHIG00000008693,ortholog_one2one
ENSOARG00000023501,ENSCHIG00000006264,ortholog_one2one
ENSOARG00000012103,ENSCHIG00000014726,ortholog_one2one
ENSOARG00000021701,ENSCHIG00000006235,ortholog_one2one
ENSOARG00000012254,ENSCHIG00000010208,ortholog_one2one
ENSOARG00000020142,ENSCHIG00000017652,ortholog_one2many
ENSOARG00000012386,ENSCHIG00000014650,ortholog_one2one
ENSOARG00000012445,ENSCHIG00000011651,ortholog_one2many
ENSOARG00000012445,ENSCHIG00000008814,ortholog_one2many
ENSOARG00000012445,ENSCHIG00000017744,ortholog_one2many
ENSOARG00000012544,ENSCHIG00000022921,ortholog_one2one
ENSOARG00000012570,ENSCHIG00000002449,ortholog_one2one
ENSOARG00000012596,ENSCHIG00000017722,ortholog_one2one
ENSOARG00000012655,ENSCHIG00000008847,ortholog_one2one
ENSOARG00000020146,ENSCHIG00000011280,ortholog_one2one
ENSOARG00000012694,ENSCHIG00000006436,ortholog_one2one
ENSOARG00000012772,ENSCHIG00000019153,ortholog_one2one
ENSOARG00000012808,ENSCHIG00000014157,ortholog_one2one
ENSOARG00000012831,ENSCHIG00000012108,ortholog_one2one
ENSOARG00000012917,ENSCHIG00000011146,ortholog_one2one
ENSOARG00000012957,ENSCHIG00000015402,ortholog_one2one
ENSOARG00000012986,ENSCHIG00000015536,ortholog_one2one
ENSOARG00000013059,ENSCHIG00000009098,ortholog_one2one
ENSOARG00000013192,ENSCHIG00000009689,ortholog_one2one
ENSOARG00000013311,ENSCHIG00000016038,ortholog_one2one
ENSOARG00000013435,ENSCHIG00000020133,ortholog_one2one
ENSOARG00000013481,ENSCHIG00000019540,ortholog_one2one
ENSOARG00000013594,ENSCHIG00000015833,ortholog_one2one
ENSOARG00000013738,ENSCHIG00000000936,ortholog_one2one
ENSOARG00000013827,ENSCHIG00000014849,ortholog_one2one
ENSOARG00000013926,ENSCHIG00000022072,ortholog_one2one
ENSOARG00000013979,ENSCHIG00000007873,ortholog_one2one
ENSOARG00000014008,ENSCHIG00000007304,ortholog_one2one
ENSOARG00000014070,ENSCHIG00000022990,ortholog_one2one
ENSOARG00000014186,ENSCHIG00000009445,ortholog_one2one
ENSOARG00000014255,ENSCHIG00000013489,ortholog_one2one
ENSOARG00000014474,ENSCHIG00000018354,ortholog_one2one
ENSOARG00000024434,ENSCHIG00000003480,ortholog_one2one
ENSOARG00000014588,ENSCHIG00000009786,ortholog_one2one
ENSOARG00000014650,ENSCHIG00000024906,ortholog_one2one
ENSOARG00000014895,ENSCHIG00000017314,ortholog_one2one
ENSOARG00000014952,ENSCHIG00000024489,ortholog_one2one
ENSOARG00000015048,ENSCHIG00000017517,ortholog_one2one
ENSOARG00000015116,ENSCHIG00000015619,ortholog_one2one
ENSOARG00000015188,ENSCHIG00000021121,ortholog_one2one
ENSOARG00000015334,ENSCHIG00000016629,ortholog_one2one
ENSOARG00000015429,ENSCHIG00000022139,ortholog_one2one
ENSOARG00000015484,ENSCHIG00000012865,ortholog_one2one
ENSOARG00000015553,ENSCHIG00000002881,ortholog_one2one
